,0
0,RT @TipoNomeForma: HARPEX Shipping index still harping on to new highs. Cost of chartering a container ship is going up. https://t.co/gW4i2…
1,@mattmedved No chance
2,@not_katarina https://t.co/SePwTFt2jI
3,"@Wappy_eth Which groups?

I've had telegram for a while, but when my crypto chat migrated to discord, I stopped using it."
4,Best crypto discords for non-NFT stuff?
5,"A story of two floor prices. Yes there's a Tom Brady LFG!!! below the Feb 1 tweet.

We've entered the phase of the bear market where floor price is irrelevant. https://t.co/6ie9MrXZ43 https://t.co/XNG02tIDov"
6,"RT @OttoSuwenNFT: There have been flashes of volume that may have convinced the market otherwise, but there's absolutely no liquidity right…"
7,RT @Pollo2x: ct really is the worlds most highly functioning mental institution
8,c'mon Kevin. You can do it. https://t.co/cnYWosH3Uu
9,RT @sartoshi_nft: nfts https://t.co/ANdyUHGnJE
10,"RT @Zeneca_33: Join me in my Space with @MartianPLeague to talk all about world building, lore, mythology, and story telling in web3 https:…"
11,RT @greatmando_nft: NFT market right now: https://t.co/sMPJfwxt44
12,@fire_eth @opensea And he even went to law school 😂😂😂
13,@farokh What impact may this have on Rug Radio's traits?
14,"Official unofficial @HOWLERZNFT Discord

https://t.co/Yhg3XBFKkn"
15,@farokh @xanderatallah @0xAlexander @SteveyTrommm Opensea team I found this for you to reply with https://t.co/swUvrjxS5H
16,"It's shameful that an influencer and ""expert"" this big will put the blame on @opensea.

This is the guy running web 3.0 media. mfer c'mon - you know how DMCA works. https://t.co/r2cGxVPUnr"
17,"@farokh @CryptoMories @opensea Opensea literally has no legal option but to comply.

C'mon Farokh, you should know this."
18,@TreeSnakeCat 👀
19,@Stick_Em_Up818 I think it's a representation of poor DAO execution. The proposal was made in March 2021 when 1/1 fine art NFTs were popping off. Doomed for failure if they thought fine art was still popular! https://t.co/3I2IFQ2KZv
20,@AB84 @boredpunksnft Bro this ain't worth it. Be better.
21,RT @curvethots: The NFT space has a trash project problem because it’s full of gamblers addicted to blowing their money on every copypasta…
22,"@charlestrussel Not 1v1, but @DecentralGames poker"
23,@TheShamdoo llmfao https://t.co/4Ro9qtj8X2
24,@KeyboardMonkey3 Always was a casino
25,@cryptorso @DRAK_eth @metastash @CryptoMories @sabet Me too. Serious conversations aren't fun. Nice to meet you though! 🤝
26,"RT @sartoshi_nft: ""i minted 10 at 3E each and here's why i still believe in the project 🧵1/28..."" https://t.co/Nf4RscUS4a"
27,@cryptorso @DRAK_eth @metastash @CryptoMories @sabet Take a few minutes to read up on fair use.
28,"@cryptorso @DRAK_eth @metastash @CryptoMories @sabet Flipping sides isn't enough to constitute fair use. I can 100% see why they were DMCA'd.

They were walking a fine line including traits from DBZ, Rick &amp; Morty, among others."
29,@DRAK_eth @metastash @CryptoMories @sabet What skull logo? lol
30,RT @gclxnft: 大家好，我们预计明天下午或者晚上开图，我帮大家提前看过了，应该会比这个好一点点，不过还是希望大家降低预期，不要试图退款。谢谢。 https://t.co/ob58fPWjBb
31,sub-20 gwei. Makes me feel a bit bearish tbh https://t.co/qUuJlKavtz
32,"RT @TheStalwart: Very interesting. The Ethereum address posted by the @ukraine account, which Bloomberg confirmed is legit, has taken in fa…"
33,RT @_wolfcube_: Disclaimer: I'm disgusted and sorry for the community that has been screwed over by @Pixelmon. This video is in your honor.…
34,@MonksofCrypto @NFTsAnonymous Satire is generally not protected under DMCA ser. You may be thinking of parody.
35,"@NFTsAnonymous It's bullshit and I don't understand why now, after like 5 months.

However, they do have DBZ and Rick Coat traits (among others). They were always playing with fire..."
36,RT @DiscoverXnft: NFT Cash Grabs are evolving https://t.co/Mb2ZgmGhbA
37,@OzKaterji What are you trying to do? Perhaps you don't need a centralized exchange?
38,"@MiekkiMofumofu @MfersLess Weird. I see the text, but no pfp?"
39,Me realizing I'm down $50k on @Pixelmon https://t.co/kcOE6z3eES
40,omg I'm dead @Pixelmon RIP my bags https://t.co/oh22DiSKtq
