,0
0,@ArtesianBuilds You are trash!!!
1,@ArtesianBuilds You are a GARBAGE human
2,@SerpentAU Sadly not :(
3,@shabutown Had so much hope for this project. What a let down.
4,"@BentoBoiNFT They know they aren’t promised anything, it is pure degen. We are tired of hype of false promises."
5,"RT @HeadDAOClub: Head DAO Club is affiliated with @HeadDaoNFT

It is our goal to increase the value of @HeadDaoNFT, Head Alpha pass and the…"
6,@camolNFT More engagement farming? I need moar of that
7,@0xnushi Mmmmmm ready
8,"RT @0xnushi: Lined up a bunch of killer WL spots for bear owners

Be ready"
9,RT @BearEatsTrout: A little over 24 hours left in our auction of our 1/1 Bear with 100% of proceeds going to Ukraine! The winner will also…
10,"@NateMcCord @AxolittlesNFT Yeah, been nothing else to do with them for months."
11,@thesunniesnft @FelineFiendz Trash scam copy
12,"RT @songadaymann: kevin deserves a banger. 

i hope i delivered.

👉 https://t.co/kz7HtPDApq 🧟‍♂️ https://t.co/GRxb6OXg5o"
13,@wabdoteth @BCBanditsNFT @JPGJEFF @ryd_nft @reeferboyz @FutbolCards
14,"RT @wabdoteth: Giving away WL spots for Blockchain Bandits! 🤺

1⃣ Like + RT
2⃣ Follow @wabdoteth &amp; @BCBanditsNFT 
3⃣ Tag 3 frens

Drawing w…"
15,"@TheShamdoo @TommyAvalanche @flipcitynft @JPGJEFF @PuffyPawsPack Bro don’t even try to reason with him, his stupidity will rub off on you"
16,@PsycUnknown Good lord that is horrid!!
17,@bayc9797 https://t.co/W6csOiEKpa
18,@Ephi_BL @gaybenzino @TheDiakou Can we have threesomes?
19,"@PunkHot10 @TheShamdoo @TommyAvalanche @SweetBabyNicco @PuffyPawsPack LOL, you are spending your own money you better believe the onus is on you to check everything out."
20,@winterbearsnft @ThePixlverse @JPGJEFF @ryd_nft @reeferboyz
21,"RT @winterbearsnft: We are insanely proud to be a Founding @ThePixlverse partner and are super bullish on Pixl Pets 🙌

Our own game is well…"
22,"RT @TheDeerpackNFT: SEND NOODS 🍜

Tag your noodle-buddy to spread some noodle-happiness 🌞 https://t.co/H6L2Eotw6v"
23,"@TommyAvalanche @PuffyPawsPack @TheShamdoo Wow, never heard of DYOR?"
24,@Mase1153 @SappySealsNFT @ThePixlverse No Standards???
25,@RavenousLupus @ThePixlverse How did they get stolen?
26,@songadaymann Putin falling into a running woodchipper
27,@Syberer @Pixelmon https://t.co/EpJEtI3k9t
28,@NFTLlama 0x8093fEe5Bda3c16af90eFdB80b7b7Ea3D4BDBBb0
29,@nftushy That is a given!
30,@nftushy Dislocate their jaws!
31,@nftushy It’s bad to watch mentally challenged people get destroyed but in this case it is so fun to watch.
32,"@beaniemaxi @wabdoteth @thejpeggorilla Wow, seriously dude, just quit."
33,@spectatorindex All my fellow kids of the 70's and 80's remember this is how it was for a long time anyways :)
34,@aNigerian_Youth @MoonMatt_ @XSURGEDEFI @MoonMark_ How much was it?
35,@sartoshi_nft Hahaha
36,@tridder46290 Definitely not a lot of variety as I expected
