,0
0,RT @sartoshi_nft: it's obvious we are all kinda burnt out and need a break from nfts so let's just do it everything will be ok it's not lik…
1,"RT @0xBender: I rarely trust doxxed teams. It's easy to make fake personas that you can dox INTO, it's as easy as creating our anonymous pe…"
2,RT @sartoshi_nft: nfts https://t.co/ANdyUHGnJE
3,@DiscoverXnft @Pixelmon Lmaoooooo
4,RT @DiscoverXnft: I can’t believe I paid $10k for this. I want a refund @Pixelmon https://t.co/B39dAVEHbq
5,"RT @usleepwalker: My Ukrainian credit cards don't work anymore. I'm safe physically in Kazakhstan, but all my savings are gone.

Crypto is…"
6,@WatcherGuru Woof
7,"RT @0xQuit: NFTs crashing in ETH value, ETH crashing in USD value, USD crashing in buying power value. This is max pain."
8,@friesframe Congrats!
9,"RT @0x_b1: WELCOME TO THE #MAYC MEGA TRIPPY APE

@BoredApeYC #BAYC #MAYC https://t.co/TANkes4Jo6"
10,@michaela_nft @BYOPills Bought another plot today
11,@ZechNFT It’s a superpower quite honestly
12,RT @kushinthetush: I have a big feeling @BYOPills BYOLand is going to go on an NFT World-like run once land selection / $tryp details come…
13,RT @chimo47: I've waited long enough... @GutterCatGang where my GANG at? https://t.co/Mmv4OI0xfz
14,@MLeeJr @sartoshi_nft F yes mfer
15,"RT @MLeeJr: 1/ A brief thread of my top mfer memes generated over the past few years. 

Starting off with the titanic mfer. 

Sound on for…"
16,@dina_broadhurst @sartoshi_nft You got one fam
17,@legende_eth @LittlelemonsNFT a legend is born🍋
18,"RT @0xBender: I will continue to say the obvious loudly:

Invest in teams and people, not hype and marketing - a quiet developer will alway…"
19,"RT @alifarhat79: This is not Bitcoin, Ethereum or even a shitcoin. It’s Paypal https://t.co/4mFKCRLLqO"
20,RT @sartoshi_nft: coinbase nft is like when ur crush says yeah let's link up soon! &amp; then each week they're like hiiiiiiii and at first ur…
21,@rexwub Nooooo!!!
22,RT @rexwub: my normie frens posting this on their instagram 😭😭😭 https://t.co/g7cigLWF8o
23,@TheNFTease @LittlelemonsNFT Hot damn
24,RT @TheNFTease: Got my pixel lemons! Can confirm – glitchin' is bitchin'! Thanks @LittlelemonsNFT https://t.co/5JVclaoKGh
25,RT @mtnman_eth: if you’re building an NFT marketplace (@Coinbase_NFT 👀) you might want to employ a few degens that live on Twitter all day
26,"@not_katarina That’s what I’ve been saying! Really tho, who tf is making these decisions over there? Hahaha"
27,@not_katarina Coinbase supposedly listing hape and pudgies
28,@NathanHeadPhoto I heard that! Lol Who tf is making these decisions over there?! Hahaha
29,"@ElectionDayMad1 Biggest takeaway for me from this: if something new, useful and exciting like $looks comes along and you wanna participate but don’t fully trust the contract (took years to discover relatively recent OS exploit)— invest with a fresh wallet"
30,@cr0ssETH Naturally
31,@SpencerTarring @realniceguy_SRH Your ape is boring. Welcome to the fam 🤝
32,@Web3Adam @LittlelemonsNFT they're all rockstars
33,@gankstarr_eth @LittlelemonsNFT Welcome to the fam!
34,RT @momentoshi1413: I found out why. #mfer #mfers @sartoshi_nft #NFT https://t.co/aEvNuBMV3R
35,"@SnoopDogg you were fantastic, king"
36,@DiscoverXnft LMAOO
37,"RT @DiscoverXnft: Crypto security: “DONT EVER CLICK LINKS OR SCAN ANYTHING” 

Coinbase: Scan this random unexpected QR code on a commercial!"
38,@xFre5h @LittlelemonsNFT @Coinbase_NFT 🙌🍋💎
39,@L3xcNFT 3000% yes
40,@Alan70468840 @LittlelemonsNFT Lets go!!
41,"@L3xcNFT @sartoshi_nft Fan of your work mfer, it effs https://t.co/RiGctpO2wO"
42,@nycbornnraised @sartoshi_nft Right here mfer
43,@TheeHustleHouse @ensdomains freethenipple.eth
44,@MaiTaiMarty @sartoshi_nft Mfer you prolly called this spot on
45,@NathanHeadPhoto Prolly overhyped but I like them from the samples I’ve seen. This one has been anticipated for a while and if hapebeast jumped to 8-9 post drop then this could jump to current azuki levels shortly after it drops.
46,@rexwub Basically programmed for 5
47,@CryptoStorm__ @SnoopDogg *checks off bucket list*
48,@BobbyBananasNFT 🍋
49,"@blackcat_cards @wenmilk_eth @RTFKTstudios Im a simp for both. I prolly wouldnt be as inclined to snuggle whatever comes out of the box vs the egg. But hey, some sports cards r worth more than some sports cars. A dozen lil lemons = half a year's worth of mortgage payments = 3 mfers= a designer bag. idk whats laughable lol"
50,@_Beastnode @LittlelemonsNFT @sonirious Everything is better with a lil lemon https://t.co/BGFs6GeA2P
51,RT @_Beastnode: I want to help build @LittlelemonsNFT into the next hello kitty - @sonirious get at me and let’s build. Got these 20+ years…
52,@rexwub Gmi
53,@MarcusDamas @BoredApeYC Fam
54,@NakedSn4ke64 Naturally
55,"@Mr312 @BoredApeYC @doodles @CAMEOPASS justbread.eth
&lt;3"
56,@necfas @LittlelemonsNFT Look at those lovelies
57,@CryptoclimberU Lfgggg
58,@SeraStargirl It’s so good!! https://t.co/eaUePvMvmU
59,@ashrobinqt The ending legit made die🤣🤣
